test,source,smoothed,eta,sampling_cap,phase,policy,additional_stations_b,metric,events,median_delta,min_delta,max_delta,events_lower,events_higher
SKS02,SKS03,0,0.5,240,after_decay,original,4,peak_depth_error,5,-0.35714285714285715,-0.35714285714285715,-0.2142857142857143,5,0
SKS02,SKS03,0,0.5,240,after_decay,original,4,peak_load_error,5,-0.30389405063643793,-0.33636602875641086,-0.2705980233088948,5,0
SKS02,SKS03,0,0.5,240,after_decay,original,4,profile_nrmse,5,-0.05943315704597188,-0.08656447380185675,-0.03227942870550674,5,0
SKS02,SKS03,0,0.5,240,before_decay,boundary_retained,2,peak_depth_error,5,0.4285714285714285,0.4285714285714285,0.4999999999999999,0,5
SKS02,SKS03,0,0.5,240,before_decay,boundary_retained,2,peak_load_error,5,-0.07752835789377216,-0.1060419202786568,0.0027786485974017616,4,1
SKS02,SKS03,0,0.5,240,before_decay,boundary_retained,2,profile_nrmse,5,-0.01936806632036389,-0.04241496370073891,-0.0013286981359705158,5,0
SKS02,SKS03,0,0.5,240,before_decay,boundary_retained,3,peak_depth_error,5,0.35714285714285704,0.1428571428571428,0.35714285714285704,0,5
SKS02,SKS03,0,0.5,240,before_decay,boundary_retained,3,peak_load_error,5,0.027167519945881097,-0.029581160193606862,0.0747751238552251,1,4
SKS02,SKS03,0,0.5,240,before_decay,boundary_retained,3,profile_nrmse,5,-0.010410123553544759,-0.025156639269734035,-0.0007399484303755172,5,0
SKS02,SKS03,0,0.5,240,before_decay,boundary_retained,4,peak_depth_error,5,-0.35714285714285715,-0.42857142857142855,-0.2142857142857143,5,0
SKS02,SKS03,0,0.5,240,before_decay,boundary_retained,4,peak_load_error,5,-0.3315973797898562,-0.3460529848877445,-0.27403730338666227,5,0
SKS02,SKS03,0,0.5,240,before_decay,boundary_retained,4,profile_nrmse,5,-0.06162414246980244,-0.0957743640309007,-0.022501486185873353,5,0
SKS02,SKS03,0,0.5,240,before_decay,original,2,peak_depth_error,5,0.21428571428571425,0.14285714285714285,0.4285714285714285,0,5
