pile,stage,reference_pitch_m,boundary_rule,interpolator,layout_source,additional_stations_b,total_retained,reference_levels,measured_span_m,head_to_dfos_gap_m,candidate_realised_z,uniform_realised_z,candidate_nrmse,uniform_nrmse,delta_nrmse,delta_distance_weighted_nrmse,candidate_outside_sse_fraction,delta_squared_error_inside,delta_squared_error_outside
T2,Step 2,0.4,boundary_constrained,linear,SKS02,4,5,44,19.8765,3.0964999999999994,0.000000;0.155787;0.719266;0.860136;1.000000,0.000000;0.256408;0.497900;0.759515;1.000000,0.03725678053374491,0.020333391077481076,0.016923389456263836,0.013648162158676102,0.0,0.0009746209030298468,0.0
T2,Step 3,0.4,boundary_constrained,linear,SKS02,4,5,44,19.8765,3.0964999999999994,0.000000;0.155787;0.719266;0.860136;1.000000,0.000000;0.256408;0.497900;0.759515;1.000000,0.03872616135746044,0.023187798038255616,0.015538363319204822,0.012091535203182829,0.0,0.0009620415956211309,0.0
T2,Step 4,0.4,boundary_constrained,linear,SKS02,4,5,44,19.8765,3.0964999999999994,0.000000;0.155787;0.719266;0.860136;1.000000,0.000000;0.256408;0.497900;0.759515;1.000000,0.029853146935745742,0.018741089199018613,0.011112057736727129,0.008817561032886462,0.0,0.0005399819576016534,0.0
T2,Step 5,0.4,boundary_constrained,linear,SKS02,4,5,44,19.8765,3.0964999999999994,0.000000;0.155787;0.719266;0.860136;1.000000,0.000000;0.256408;0.497900;0.759515;1.000000,0.029436726786602887,0.02060077132189926,0.008835955464703626,0.007393931262785772,0.0,0.0004421291048519169,0.0
T2,Step 6,0.4,boundary_constrained,linear,SKS02,4,5,44,19.8765,3.0964999999999994,0.000000;0.155787;0.719266;0.860136;1.000000,0.000000;0.256408;0.497900;0.759515;1.000000,0.029409168535494485,0.025434687721138452,0.003974480814356033,0.0021200850093243614,0.0,0.00021797585447728754,0.0
T2,Step 7,0.4,boundary_constrained,linear,SKS02,4,5,44,19.8765,3.0964999999999994,0.000000;0.155787;0.719266;0.860136;1.000000,0.000000;0.256408;0.497900;0.759515;1.000000,0.029026427566329904,0.03179420011712598,-0.0027677725507960736,-0.004598003931045057,0.0,-0.00016833766382445684,0.0
T2,Step 8,0.4,boundary_constrained,linear,SKS02,4,5,44,19.8765,3.0964999999999994,0.000000;0.155787;0.719266;0.860136;1.000000,0.000000;0.256408;0.497900;0.759515;1.000000,0.029968172423859085,0.032494737869979695,-0.0025265654461206107,-0.004487022729288765,0.0,-0.00015781663081254442,0.0
T2,Step 1,0.4,boundary_constrained,pchip,SKS02,4,5,44,19.8765,3.0964999999999994,0.000000;0.155787;0.719266;0.860136;1.000000,0.000000;0.256408;0.497900;0.759515;1.000000,0.031019620214542357,0.02929752459763141,0.0017220956169109458,0.00021542421870949374,0.0,0.00010387189070562732,0.0
T2,Step 2,0.4,boundary_constrained,pchip,SKS02,4,5,44,19.8765,3.0964999999999994,0.000000;0.155787;0.719266;0.860136;1.000000,0.000000;0.256408;0.497900;0.759515;1.000000,0.03147687920816474,0.01915812843243649,0.012318750775728252,0.00909887075563159,0.0,0.0006237600396516624,0.0
T2,Step 3,0.4,boundary_constrained,pchip,SKS02,4,5,44,19.8765,3.0964999999999994,0.000000;0.155787;0.719266;0.860136;1.000000,0.000000;0.256408;0.497900;0.759515;1.000000,0.03317594413172385,0.01878144209170655,0.014394502040017302,0.009976058367717859,0.0,0.0007479007019871356,0.0
T2,Step 4,0.4,boundary_constrained,pchip,SKS02,4,5,44,19.8765,3.0964999999999994,0.000000;0.155787;0.719266;0.860136;1.000000,0.000000;0.256408;0.497900;0.759515;1.000000,0.02390538405604278,0.015970883298236743,0.007934500757806037,0.004656624725767684,0.0,0.00031639827354100714,0.0
