reference_pitch_m,boundary_rule,interpolator,layout_source,additional_stations_b,pile,stages,median_paired_delta,median_candidate_nrmse,median_uniform_nrmse,median_distance_weighted_delta,median_outside_sse_fraction,median_delta_squared_error_inside,median_delta_squared_error_outside
0.2,boundary_constrained,linear,SKS03,4,T1,15,-0.027791816437909102,0.024138402541991944,0.051709368105864455,-0.02568385630767191,0.0,-0.001934887220898356,0.0
0.2,boundary_constrained,linear,SKS03,4,T2,8,0.003306036653264413,0.025774971457342574,0.025534200490468784,0.002415640524408,0.0,0.0001604667586233803,0.0
0.2,boundary_constrained,linear,SKS03,4,T3,6,0.006556336921968654,0.03949258784371405,0.03385703777149804,0.006490931820684796,0.0,0.0005110522884726801,0.0
0.2,boundary_constrained,pchip,SKS02,2,F1,12,0.019625368716213894,0.05981645112263719,0.04090713863881105,0.01862346686005983,0.0,0.001962438622044771,0.0
0.2,boundary_constrained,pchip,SKS02,2,F2,12,0.031104673872854233,0.07879659944107348,0.04947872435071427,0.027610541686404613,0.0,0.00394592134683202,0.0
0.2,boundary_constrained,pchip,SKS02,2,T1,15,0.05639652407476303,0.12046554980158065,0.06479445993207568,0.05107767192606454,0.0,0.010205284522239027,0.0
0.2,boundary_constrained,pchip,SKS02,2,T2,8,0.05905025044838211,0.09314617468763473,0.028886604849451242,0.05256039797271561,0.0,0.007410443707505039,0.0
0.2,boundary_constrained,pchip,SKS02,2,T3,6,-0.0011005915349735149,0.04732736337911528,0.040993213243340196,-0.0011014236655089923,0.0,-0.00011821682961691299,0.0
0.2,boundary_constrained,pchip,SKS02,3,F1,12,0.0021134912202575296,0.044856256803448694,0.043540948217715494,0.0015406945304416338,0.0,0.00018239756691608834,0.0
0.2,boundary_constrained,pchip,SKS02,3,F2,12,-0.00031146126777393743,0.05009031431876643,0.04883946242006388,-0.0007141837111024583,0.0,-3.055397457934587e-05,0.0
0.2,boundary_constrained,pchip,SKS02,3,T1,15,0.019574884325751364,0.0642710356279748,0.04350943349392678,0.017138589236470554,0.0,0.0019013132235203168,0.0
0.2,boundary_constrained,pchip,SKS02,3,T2,8,0.005720411280193426,0.027805923147645253,0.018975531155331946,0.0036802178940925235,0.0,0.0002755558446711806,0.0
0.2,boundary_constrained,pchip,SKS02,3,T3,6,0.012612743901271865,0.04633572185983306,0.03622273462011272,0.012539047579333759,0.0,0.0010290289902408255,0.0
0.2,boundary_constrained,pchip,SKS02,4,F1,12,0.018314201412625037,0.06298210018252326,0.046476064892374755,0.015481574688971968,0.0,0.001987408921159126,0.0
0.2,boundary_constrained,pchip,SKS02,4,F2,12,0.005517811190581187,0.06526164748524921,0.058344481325645584,0.0014976916943694463,0.0,0.0006939556603814301,0.0
0.2,boundary_constrained,pchip,SKS02,4,T1,15,0.004216657197979132,0.03800649446786836,0.03290850647867807,0.0037779180101411187,0.0,0.0002919280572015084,0.0
0.2,boundary_constrained,pchip,SKS02,4,T2,8,0.004872112323124591,0.028142424369375772,0.02077565953188197,0.0035981985845875385,0.0,0.00020482406721840244,0.0
0.2,boundary_constrained,pchip,SKS02,4,T3,6,0.013001442127488171,0.04770507780093043,0.034249760626638856,0.012907984491355086,0.0,0.0010902235125254784,0.0
0.2,boundary_constrained,pchip,SKS03,2,F1,12,0.019625368716213894,0.05981645112263719,0.04090713863881105,0.01862346686005983,0.0,0.001962438622044771,0.0
0.2,boundary_constrained,pchip,SKS03,2,F2,12,0.031104673872854233,0.07879659944107348,0.04947872435071427,0.027610541686404613,0.0,0.00394592134683202,0.0
0.2,boundary_constrained,pchip,SKS03,2,T1,15,0.05639652407476303,0.12046554980158065,0.06479445993207568,0.05107767192606454,0.0,0.010205284522239027,0.0
0.2,boundary_constrained,pchip,SKS03,2,T2,8,0.05905025044838211,0.09314617468763473,0.028886604849451242,0.05256039797271561,0.0,0.007410443707505039,0.0
0.2,boundary_constrained,pchip,SKS03,2,T3,6,-0.0011005915349735149,0.04732736337911528,0.040993213243340196,-0.0011014236655089923,0.0,-0.00011821682961691299,0.0
0.2,boundary_constrained,pchip,SKS03,3,F1,12,0.0021134912202575296,0.044856256803448694,0.043540948217715494,0.0015406945304416338,0.0,0.00018239756691608834,0.0
