test,event,pile,layout,additional_stations_b,snapshots,cluster_median_nrmse,cluster_p90_nrmse,cluster_median_mae_mn,cluster_p90_peak_load_relative_error,cluster_p90_peak_depth_error_z_over_l
SKS02,EQM_4,1,trained_SKS03_applied_all_4,4,120,0.15870649539248544,0.1623265004697801,0.08177476714889467,0.0,0.0
SKS02,EQM_4,1,trained_SKS03_applied_all_5,5,120,0.15945443743883736,0.16314196246669807,0.0777854014954486,0.0,0.0
SKS02,EQM_4,1,uniform_2,2,120,0.3173285660700382,0.32310656860170506,0.25948313705570003,0.4894638708100166,0.1428571428571429
SKS02,EQM_4,1,uniform_3,3,120,0.2435310742060342,0.24732204161752608,0.1469178795513654,0.22937700809776704,0.5714285714285714
SKS02,EQM_4,1,uniform_4,4,120,0.243435233919372,0.24729345198892164,0.14626959687906374,0.22937700809776704,0.5714285714285714
SKS02,EQM_4,1,uniform_5,5,120,0.15945443743883736,0.16314196246669807,0.0777854014954486,0.0,0.0
SKS02,EQM_4,2,pooled_robust_2,2,120,0.18798840834779906,0.19464910913057387,0.10380575243506493,0.46856207071132266,0.7142857142857142
SKS02,EQM_4,2,pooled_robust_3,3,120,0.19020872650360487,0.19334523283839486,0.10261354383116883,0.0,0.0
SKS02,EQM_4,2,pooled_robust_4,4,120,0.05777913014565801,0.06038932521442056,0.03608158441558441,0.0,0.0
SKS02,EQM_4,2,pooled_robust_5,5,120,0.026133793592872392,0.027953950906893652,0.013420262987012987,0.0,0.0
SKS02,EQM_4,2,static_transfer_2,2,120,0.14362300440620432,0.14675366383215896,0.10408534415584417,0.0,0.0
SKS02,EQM_4,2,static_transfer_3,3,120,0.05913660953176223,0.0668400678049905,0.03859253246753246,0.0,0.0
SKS02,EQM_4,2,static_transfer_4,4,120,0.03647433433778961,0.040453324854330786,0.020824789772727274,0.0,0.0
SKS02,EQM_4,2,static_transfer_5,5,120,0.028164028456592292,0.03168004426955147,0.012109961850649338,0.0,0.0
SKS02,EQM_4,2,trained_SKS02_applied_all_2,2,120,0.18798840834779906,0.19464910913057387,0.10380575243506493,0.46856207071132266,0.7142857142857142
SKS02,EQM_4,2,trained_SKS02_applied_all_3,3,120,0.19020872650360487,0.19334523283839486,0.10261354383116883,0.0,0.0
SKS02,EQM_4,2,trained_SKS02_applied_all_4,4,120,0.05777913014565801,0.06038932521442056,0.03608158441558441,0.0,0.0
SKS02,EQM_4,2,trained_SKS02_applied_all_5,5,120,0.026133793592872392,0.027953950906893652,0.013420262987012987,0.0,0.0
SKS02,EQM_4,2,trained_SKS03_applied_all_2,2,120,0.14142926918411336,0.143346093027363,0.10261354383116883,0.29889639226421894,0.1428571428571429
SKS02,EQM_4,2,trained_SKS03_applied_all_3,3,120,0.19617569750802527,0.19638154460664958,0.10545223944805195,0.46814618952929477,0.7142857142857142
SKS02,EQM_4,2,trained_SKS03_applied_all_4,4,120,0.03822762974957767,0.03868851866710732,0.023585875811688306,0.0,0.0
SKS02,EQM_4,2,trained_SKS03_applied_all_5,5,120,0.028164028456592292,0.03168004426955147,0.012109961850649338,0.0,0.0
SKS02,EQM_4,2,uniform_2,2,120,0.1805531028160237,0.18277961942347348,0.09665531493506493,0.420988454980234,0.2857142857142857
SKS02,EQM_4,2,uniform_3,3,120,0.14621829941881198,0.15016712590466463,0.07631998376623378,0.29889639226421894,0.1428571428571429
SKS02,EQM_4,2,uniform_4,4,120,0.14302589051515532,0.1469647185444604,0.06396634496753248,0.29889639226421894,0.1428571428571429
SKS02,EQM_4,2,uniform_5,5,120,0.028164028456592292,0.03168004426955147,0.012109961850649338,0.0,0.0
SKS02,EQM_5,1,pooled_robust_2,2,120,0.1766726459280447,0.1876184535494609,0.11769462532509753,0.20653673453333837,0.7142857142857142
SKS02,EQM_5,1,pooled_robust_3,3,120,0.14841218041250526,0.16357929318055406,0.08886195058517557,0.0,0.0
SKS02,EQM_5,1,pooled_robust_4,4,120,0.05613621200999143,0.06700739316338818,0.031959314856957105,0.0,0.0
SKS02,EQM_5,1,pooled_robust_5,5,120,0.03571564060893862,0.04360070466546871,0.01866109639141742,0.0,0.0
SKS02,EQM_5,1,static_transfer_2,2,120,0.2806599115828384,0.2980405353882797,0.2176992238296489,0.0,0.0
SKS02,EQM_5,1,static_transfer_3,3,120,0.2806860762676683,0.2991728129303861,0.21101588832899867,0.0,0.0
SKS02,EQM_5,1,static_transfer_4,4,120,0.26250146287351694,0.2835001313324066,0.1845074093790637,0.0,0.0
SKS02,EQM_5,1,static_transfer_5,5,120,0.16715087814027996,0.17886580322228401,0.07963323837776333,0.0,0.0
SKS02,EQM_5,1,trained_SKS02_applied_all_2,2,120,0.1766726459280447,0.1876184535494609,0.11769462532509753,0.20653673453333837,0.7142857142857142
SKS02,EQM_5,1,trained_SKS02_applied_all_3,3,120,0.14841218041250526,0.16357929318055406,0.08886195058517557,0.0,0.0
SKS02,EQM_5,1,trained_SKS02_applied_all_4,4,120,0.05613621200999143,0.06700739316338818,0.031959314856957105,0.0,0.0
SKS02,EQM_5,1,trained_SKS02_applied_all_5,5,120,0.03571564060893862,0.04360070466546871,0.01866109639141742,0.0,0.0
SKS02,EQM_5,1,trained_SKS03_applied_all_2,2,120,0.26630897639821866,0.27332869484217137,0.17090419294538362,0.20653673453333837,0.7142857142857142
SKS02,EQM_5,1,trained_SKS03_applied_all_3,3,120,0.17332611196724557,0.18263448842367422,0.10926447090377116,0.20653673453333837,0.7142857142857142
